column_a,confirmation_hillary_rodham_clinton_of_new_york_to_be_secretary_of_state,confirmation_timothy_f_geithner_of_new_york_to_be_secretary_of_the_treasury,motion_to_invoke_cloture_on_s_22,motion_to_invoke_cloture_on_the_motion_to_proceed_to_s_22,motion_to_invoke_cloture_on_the_motion_to_proceed_to_s_181,motion_to_invoke_cloture_on_the_nomination_of_cass_r_sunstein_to_be_administrator_of_the_office_of_regulatory_affairs_office_of_management_and_budget,motion_to_table_demint_amdt_no_31,motion_to_table_isakson_amdt_no_37,motion_to_table_vitter_amdt_no_34,s_181,s_22_as_amended,name,party
84,1,1,1,1,1,true,1,1,0,1,1,Olympia Snowe,R
85,1,0,0,2,1,true,1,1,1,1,1,Arlen Specter,R
86,1,1,2,1,1,true,1,1,1,1,1,Debbie Stabenow,D
87,1,1,1,1,1,true,1,1,1,1,1,Jon Tester,D
88,1,0,0,0,0,false,0,0,0,0,0,John Thune,R
89,1,1,1,1,1,true,1,1,1,1,1,Mark Udall,D
90,1,1,1,1,1,true,1,1,1,1,1,Tom Udall,D
91,0,0,0,2,0,false,0,0,0,0,0,David Vitter,R
92,1,1,1,2,1,true,1,0,1,0,1,George Voinovich,R
93,1,1,1,1,1,true,1,1,1,1,1,Mark Warner,D
94,1,1,1,1,1,false,1,1,1,1,1,James Webb,D
95,1,1,1,1,1,true,1,1,1,1,1,Sheldon Whitehouse,D
96,1,0,1,1,1,false,0,0,0,0,1,Roger Wicker,R
97,1,2,1,1,1,true,1,1,1,1,1,Ron Wyden,D
